Membership No  Date Joined  Active  
    72749      2018-11-16   no    
    65250      2017-5-19    no    
    36266      2018-6-13    no    
    45092      2017-7-25    no    
    79885      2018-10-17   no    
    79316      2017-1-20    no    
    50558      2020-10-9    no    
    84709      2017-11-16   no    
    31547      2018-1-7     no    
    65634      2018-7-16    no    
    58553      2020-7-1     no    
    38962      2019-11-12   no    
    45784      2015-1-9     no    
    55303      2019-9-6     no    
